n1,n2
[1, 3],[1, 14]
[1, 3],[1, 13]
[1, 3],[2, 12]
[1, 15],[2, 12]
[1, 13],[2, 11]
[1, 3],[3, 13]
[1, 3],[5, 39]
[1, 15],[5, 36]
[5, 36],[5, 35]
[5, 35],[5, 34]
[5, 34],[5, 33]
[5, 33],[5, 32]
[1, 15],[5, 38]
[2, 12],[3, 15]
[2, 12],[4, 22]
[3, 12],[4, 4]
[3, 11],[4, 2]
[1, 2],[3, 10]
[3, 12],[4, 36]
[3, 11],[4, 36]
[3, 13],[5, 39]
[4, 4],[5, 39]
[5, 39],[4, 34]
[4, 33],[5, 38]
[4, 34],[5, 36]
[5, 36],[5, 35]
[5, 35],[5, 34]
[5, 34],[5, 33]
[5, 33],[5, 32]
[4, 4],[5, 39]
[4, 36],[5, 39]
[4, 36],[6, 7]
[4, 4],[6, 7]
[3, 16],[6, 7]
[3, 16],[4, 36]
[5, 40],[6, 7]
[2, 11],[3, 12]
[5, 80],[3, 29]
[5, 89],[4, 1]
[5, 88],[3, 28]
[3, 21],[5, 88]
[3, 18],[5, 89]
[5, 88],[3, 29]
[3, 29],[1, 25]
[3, 21],[5, 88]
[5, 88],[5, 88]
[5, 88],[3, 32]
[3, 32],[2, 4]
[2, 4],[1, 9]
[5, 87],[3, 35]
[3, 35],[2, 8]
[2, 8],[2, 6]
[5, 86],[5, 87]
[5, 87],[5, 84]
[5, 84],[3, 29]
[3, 29],[2, 6]
[5, 85],[5, 80]
[5, 80],[3, 29]
[3, 29],[2, 4]
[2, 4],[1, 9]
[5, 83],[3, 42]
[3, 42],[3, 39]
[5, 82],[5, 84]
[5, 84],[5, 85]
[5, 85],[5, 88]
[5, 81],[5, 87]
[5, 87],[3, 35]
[3, 35],[3, 29]
[3, 29],[2, 8]
[2, 8],[2, 6]
[5, 78],[3, 29]
[3, 29],[3, 32]
[3, 32],[2, 40]
[2, 40],[1, 5]
[1, 5],[1, 6]
[1, 6],[1, 6]
[1, 6],[3, 27]
[3, 27],[2, 4]
[2, 4],[1, 9]
[5, 29],[5, 29]
[5, 29],[5, 29]
[5, 29],[5, 29]
[5, 29],[5, 29]
[5, 29],[5, 28]
[5, 28],[5, 28]
[5, 28],[5, 26]
[5, 26],[5, 26]
[5, 26],[5, 26]
[5, 26],[5, 26]
[5, 26],[5, 27]
[5, 27],[5, 27]
[2, 35],[2, 35]
[2, 35],[2, 35]
[2, 35],[5, 29]
[5, 29],[5, 29]
[5, 29],[5, 29]
[5, 29],[5, 29]
[5, 29],[2, 41]
[2, 41],[2, 41]
[2, 41],[2, 41]
[2, 36],[2, 36]
[2, 36],[2, 35]
[2, 35],[2, 35]
[2, 35],[2, 35]
[2, 35],[2, 34]
[2, 34],[2, 34]
[2, 34],[2, 41]
[2, 41],[2, 41]
[5, 24],[2, 40]
[2, 40],[1, 5]
[5, 71],[5, 72]
[5, 72],[5, 73]
[5, 73],[3, 42]
[3, 33],[5, 71]
[5, 73],[3, 33]
[5, 72],[5, 3]
[5, 3],[3, 10]
[5, 70],[5, 3]
[5, 74],[3, 10]
[3, 10],[5, 72]
[3, 39],[3, 42]
[5, 10],[5, 10]
[5, 10],[5, 10]
[5, 10],[3, 21]
[3, 21],[3, 21]
[3, 21],[3, 21]
[5, 10],[5, 10]
[5, 10],[5, 10]
[5, 10],[3, 22]
[3, 22],[3, 22]
[3, 22],[3, 22]
[3, 22],[3, 22]
[5, 10],[5, 10]
[5, 10],[3, 24]
[3, 24],[3, 24]
[5, 11],[5, 11]
[5, 11],[5, 11]
[5, 11],[3, 35]
[3, 35],[3, 35]
[3, 35],[3, 35]
[5, 11],[5, 11]
[5, 11],[2, 6]
[2, 6],[2, 6]
[2, 6],[2, 6]
[5, 12],[5, 12]
[5, 12],[5, 12]
[5, 12],[3, 21]
[3, 21],[3, 21]
[3, 21],[3, 21]
[5, 13],[5, 13]
[5, 13],[5, 13]
[5, 13],[3, 33]
[3, 33],[3, 33]
[3, 33],[3, 33]
[5, 13],[5, 13]
[5, 13],[5, 13]
[5, 13],[5, 13]
[5, 13],[3, 32]
[3, 32],[3, 32]
[3, 32],[3, 32]
[5, 13],[5, 13]
[5, 13],[5, 13]
[5, 13],[3, 35]
[3, 35],[3, 35]
[5, 13],[5, 13]
[5, 13],[5, 13]
[5, 13],[3, 21]
[3, 21],[3, 21]
[5, 13],[5, 13]
[5, 13],[5, 13]
[5, 13],[3, 42]
[3, 42],[3, 42]
[3, 42],[3, 42]
[3, 24],[3, 24]
[3, 24],[3, 24]
[3, 24],[2, 31]
[2, 31],[2, 31]
[3, 24],[3, 24]
[3, 24],[2, 30]
[2, 30],[2, 30]
[2, 30],[2, 30]
[2, 30],[2, 30]
[2, 30],[1, 10]
[1, 10],[1, 10]
[1, 10],[1, 10]
[1, 10],[1, 10]
[1, 10],[2, 31]
[3, 22],[3, 22]
[3, 22],[3, 24]
[3, 24],[3, 24]
[3, 23],[3, 23]
[3, 23],[3, 24]
[3, 24],[3, 24]
[3, 24],[3, 24]
[3, 22],[3, 36]
[3, 36],[3, 36]
[3, 21],[3, 21]
[3, 21],[2, 4]
[2, 4],[2, 4]
[2, 4],[1, 9]
[1, 9],[1, 9]
[3, 41],[3, 41]
[3, 41],[3, 24]
[3, 24],[3, 24]
[1, 6],[1, 6]
[1, 6],[1, 10]
[1, 10],[1, 10]
[1, 6],[1, 6]
[1, 6],[2, 30]
[2, 30],[2, 30]
[1, 6],[1, 6]
[1, 6],[3, 21]
[3, 21],[3, 21]
[1, 5],[1, 5]
[1, 5],[2, 30]
[2, 30],[2, 30]
[2, 30],[3, 24]
[1, 5],[1, 5]
[1, 5],[2, 40]
[2, 40],[2, 31]
[2, 31],[2, 31]
[2, 31],[3, 24]
[1, 30],[2, 31]
[1, 30],[1, 6]
[1, 6],[1, 5]
[1, 31],[3, 23]
[5, 13],[4, 29]
[4, 29],[3, 21]
[3, 21],[3, 22]
[3, 22],[3, 32]
[3, 32],[3, 33]
[3, 33],[3, 36]
[3, 36],[3, 42]
[3, 42],[2, 8]
[2, 8],[2, 6]
[2, 6],[2, 4]
[2, 4],[1, 6]
[1, 6],[1, 9]
[5, 16],[3, 28]
[3, 28],[1, 6]
[5, 15],[5, 16]
[5, 16],[3, 28]
[3, 28],[3, 28]
[3, 28],[3, 27]
[3, 27],[3, 32]
[3, 32],[3, 29]
[3, 29],[2, 4]
[2, 4],[1, 6]
[1, 6],[1, 9]
[5, 14],[3, 34]
[3, 34],[1, 27]
[5, 18],[4, 6]
[4, 6],[3, 1]
[3, 1],[2, 15]
[2, 15],[1, 17]
[1, 30],[1, 10]
[1, 10],[1, 9]
[1, 9],[1, 6]
[1, 6],[1, 5]
[1, 5],[2, 40]
[2, 40],[3, 42]
[3, 42],[3, 41]
[3, 41],[3, 40]
[3, 40],[3, 34]
[3, 34],[3, 21]
[3, 21],[3, 24]
[3, 24],[4, 29]
[4, 29],[4, 28]
[4, 28],[4, 17]
[4, 17],[4, 4]
[4, 4],[5, 64]
[1, 26],[1, 5]
[1, 5],[2, 40]
[2, 40],[2, 1]
[2, 1],[3, 42]
[3, 42],[3, 39]
[3, 39],[4, 28]
[4, 28],[4, 17]
[4, 17],[5, 66]
[5, 66],[6, 1]
[1, 5],[2, 40]
[2, 40],[2, 1]
[2, 1],[3, 40]
[3, 40],[3, 41]
[3, 41],[4, 2]
[4, 2],[5, 65]
[5, 65],[6, 1]
[1, 30],[1, 10]
[1, 10],[1, 5]
[1, 5],[2, 40]
[2, 40],[3, 41]
[3, 41],[3, 40]
[3, 40],[3, 21]
[3, 21],[4, 28]
[4, 28],[5, 63]
[5, 63],[6, 1]
[5, 64],[5, 17]
[5, 63],[5, 30]
[5, 65],[5, 30]
[5, 66],[5, 13]
[5, 6],[3, 33]
[5, 3],[3, 10]
[5, 1],[3, 13]
[5, 1],[3, 32]
[5, 4],[3, 32]
[5, 6],[3, 33]
[3, 33],[5, 5]
[5, 7],[3, 33]
[5, 7],[3, 32]
[3, 32],[2, 4]
[2, 4],[1, 9]
[2, 5],[2, 4]
[2, 4],[2, 7]
[1, 5],[2, 41]
[2, 41],[2, 40]
[2, 40],[5, 51]
[5, 51],[5, 59]
[5, 59],[5, 52]
[1, 9],[2, 4]
[2, 4],[5, 51]
[5, 51],[5, 52]
[5, 52],[5, 53]
[1, 17],[2, 15]
[2, 15],[3, 1]
[3, 1],[4, 6]
[4, 6],[5, 61]
[1, 26],[2, 40]
[2, 40],[5, 51]
[5, 51],[5, 53]
[5, 53],[5, 56]
[5, 56],[5, 59]
[1, 32],[2, 40]
[2, 40],[5, 51]
[5, 51],[5, 53]
[5, 53],[5, 59]
[1, 13],[2, 12]
[2, 12],[3, 16]
[3, 16],[5, 55]
[5, 55],[5, 61]
[2, 1],[5, 61]
[2, 36],[2, 35]
[2, 35],[5, 53]
[5, 53],[5, 59]
[5, 59],[5, 51]
[2, 37],[5, 61]
